20 undirected graphs in udwGs.txt.
** Note: Since (x,y,w) in E implies (y,x,w) in E, only one edge is listed.

** G1: |V|=10  V={0,1,...,9}
(u, v, w) E = { 
      (68, 107, 0.773)
      (68, 108, 0.682)
      (68, 112, 0.587)
      (68, 117, 0.605)
      (68, 119, 0.115)
      (69, 71, 0.226)
      (69, 72, 0.409)
      (69, 73, 0.007)
      (69, 80, 0.563)
      (69, 81, 0.412)
      (69, 82, 0.920)
      (69, 83, 0.781)
      (69, 84, 0.465)
      (69, 86, 0.030)
      (69, 87, 0.283)
      (69, 88, 0.180)
      (69, 93, 0.768)
      (69, 94, 0.565)
      (69, 98, 0.447)
      (69, 99, 0.947)
      (69, 100, 0.821)
      (69, 103, 0.861)
      (69, 104, 0.074)
      (69, 105, 0.914)
      (69, 106, 0.331)
      (69, 108, 0.293)
      (69, 109, 0.934)
      (69, 112, 0.395)
      (69, 114, 0.968)
      (69, 115, 0.825)
      (69, 116, 0.679)
      (69, 117, 0.236)
      (70, 73, 0.878)
      (70, 74, 0.122)
      (70, 77, 0.760)
      (70, 78, 0.950)
      (70, 80, 0.693)
      (70, 81, 0.493)
      (70, 82, 0.233)
      (70, 83, 0.254)
      (70, 85, 0.430)
      (70, 86, 0.806)
      (70, 89, 0.184)
      (70, 90, 0.435)
      (70, 91, 0.075)
      (70, 95, 0.689)
      (70, 96, 0.468)
      (70, 100, 0.409)
      (70, 104, 0.510)
      (70, 107, 0.248)
      (70, 108, 0.555)
      (70, 111, 0.059)
      (70, 112, 0.915)
      (70, 113, 0.286)
      (70, 117, 0.300)
      (71, 72, 0.375)
      (71, 73, 0.695)
      (71, 74, 0.458)
      (71, 78, 0.584)
      (71, 82, 0.250)
      (71, 84, 0.501)
      (71, 86, 0.137)
      (71, 87, 0.896)
      (71, 88, 0.271)
      (71, 90, 0.946)
      (71, 91, 0.782)
      (71, 92, 0.085)
      (71, 93, 0.721)
      (71, 94, 0.136)
      (71, 98, 0.468)
      (71, 100, 0.730)
      (71, 101, 0.094)
      (71, 102, 0.269)
      (71, 105, 0.865)
      (71, 106, 0.776)
      (71, 112, 0.811)
      (71, 113, 0.137)
      (71, 116, 0.340)
      (71, 117, 0.364)
      (72, 74, 0.533)
      (72, 75, 0.533)
      (72, 81, 0.075)
      (72, 83, 0.054)
      (72, 84, 0.371)
      (72, 85, 0.241)
      (72, 90, 0.030)
      (72, 91, 0.986)
      (72, 94, 0.572)
      (72, 96, 0.503)
      (72, 98, 0.362)
      (72, 99, 0.848)
      (72, 101, 0.752)
      (72, 102, 0.595)
      (72, 103, 0.420)
      (72, 106, 0.932)
      (72, 107, 0.548)
      (72, 110, 0.412)
      (72, 115, 0.766)
      (72, 118, 0.943)
      (73, 76, 0.658)
      (73, 77, 0.796)
      (73, 81, 0.748)
      (73, 82, 0.713)
      (73, 83, 0.564)
      (73, 84, 0.634)
      (73, 85, 0.058)
      (73, 86, 0.399)
      (73, 87, 0.915)
      (73, 89, 0.658)
      (73, 90, 0.319)
      (73, 92, 0.299)
      (73, 94, 0.433)
      (73, 95, 0.274)
      (73, 99, 0.234)
      (73, 100, 0.939)
      (73, 102, 0.436)
      (73, 103, 0.641)
      (73, 105, 0.016)
      (73, 108, 0.646)
      (73, 112, 0.544)
      (73, 115, 0.747)
      (73, 116, 0.824)
      (74, 75, 0.449)
      (74, 76, 0.907)
      (74, 80, 0.153)
      (74, 82, 0.725)
      (74, 83, 0.756)
      (74, 84, 0.328)
      (74, 85, 0.657)
      (74, 87, 0.255)
      (74, 89, 0.952)
      (74, 92, 0.005)
      (74, 93, 0.148)
      (74, 94, 0.998)
      (74, 95, 0.730)
      (74, 97, 0.217)
      (74, 98, 0.536)
      (74, 99, 0.729)
      (74, 100, 0.699)
      (74, 102, 0.151)
      (74, 103, 0.722)
      (74, 104, 0.575)
      (74, 105, 0.608)
      (74, 107, 0.277)
      (74, 109, 0.280)
      (74, 112, 0.340)
      (74, 113, 0.244)
      (74, 114, 0.107)
      (74, 115, 0.641)
      (74, 117, 0.596)
      (74, 118, 0.970)
      (74, 119, 0.902)
      (75, 78, 0.328)
      (75, 80, 0.412)
      (75, 81, 0.641)
      (75, 82, 0.945)
      (75, 84, 0.006)
      (75, 88, 0.612)
      (75, 89, 0.573)
      (75, 90, 0.247)
      (75, 91, 0.907)
      (75, 92, 0.268)
      (75, 93, 0.140)
      (75, 97, 0.170)
      (75, 98, 0.473)
      (75, 99, 0.735)
      (75, 100, 0.507)
      (75, 102, 0.300)
      (75, 104, 0.915)
      (75, 105, 0.906)
      (75, 106, 0.006)
      (75, 110, 0.030)
      (75, 114, 0.746)
      (75, 115, 0.523)
      (75, 116, 0.650)
      (75, 117, 0.762)
      (76, 79, 0.248)
      (76, 80, 0.315)
      (76, 83, 0.346)
      (76, 85, 0.315)
      (76, 87, 0.263)
      (76, 92, 0.464)
      (76, 93, 0.403)
      (76, 95, 0.135)
      (76, 97, 0.653)
      (76, 99, 0.389)
      (76, 101, 0.071)
      (76, 105, 0.152)
      (76, 108, 0.283)
      (76, 109, 0.129)
      (76, 111, 0.964)
      (76, 113, 0.683)
      (76, 114, 0.398)
      (76, 115, 0.668)
      (76, 117, 0.366)
      (76, 118, 0.612)
      (76, 119, 0.798)
      (77, 78, 0.373)
      (77, 83, 0.662)
      (77, 85, 0.182)
      (77, 86, 0.357)
      (77, 87, 0.384)
      (77, 88, 0.310)
      (77, 90, 0.136)
      (77, 91, 0.980)
      (77, 94, 0.151)
      (77, 95, 0.077)
      (77, 99, 0.604)
      (77, 100, 0.303)
      (77, 102, 0.529)
      (77, 103, 0.509)
      (77, 106, 0.090)
      (77, 109, 0.089)
      (77, 110, 0.825)
      (77, 111, 0.970)
      (77, 112, 0.165)
      (77, 113, 0.480)
      (77, 114, 0.907)
      (77, 116, 0.887)
      (77, 117, 0.961)
      (78, 80, 0.043)
      (78, 81, 0.038)
      (78, 82, 0.277)
      (78, 83, 0.380)
      (78, 84, 0.776)
      (78, 86, 0.421)
      (78, 87, 0.999)
      (78, 88, 0.001)
      (78, 91, 0.088)
      (78, 94, 0.510)
      (78, 96, 0.653)
      (78, 100, 0.041)
      (78, 101, 0.067)
      (78, 102, 0.039)
      (78, 104, 0.506)
      (78, 109, 0.337)
      (78, 111, 0.259)
      (78, 115, 0.364)
      (78, 118, 0.343)
      (79, 80, 0.286)
      (79, 81, 0.530)
      (79, 82, 0.174)
      (79, 83, 0.683)
      (79, 84, 0.840)
      (79, 88, 0.572)
      (79, 89, 0.808)
      (79, 92, 0.364)
      (79, 93, 0.156)
      (79, 95, 0.012)
      (79, 97, 0.457)
      (79, 98, 0.100)
      (79, 99, 0.289)
      (79, 103, 0.144)
      (79, 104, 0.291)
      (79, 105, 0.270)
      (79, 107, 0.307)
      (79, 110, 0.761)
      (79, 111, 0.108)
      (79, 112, 0.834)
      (79, 114, 0.613)
      (79, 115, 0.678)
      (79, 117, 0.472)
      (80, 81, 0.986)
      (80, 82, 0.789)
      (80, 85, 0.084)
      (80, 86, 0.398)
      (80, 89, 0.873)
      (80, 91, 0.243)
      (80, 92, 0.000)
      (80, 94, 0.595)
      (80, 95, 0.480)
      (80, 96, 0.049)
      (80, 99, 0.757)
      (80, 102, 0.907)
      (80, 103, 0.553)
      (80, 104, 0.869)
      (80, 106, 0.604)
      (80, 107, 0.129)
      (80, 109, 0.266)
      (80, 110, 0.566)
      (80, 113, 0.245)
      (80, 114, 0.564)
      (80, 117, 0.190)
      (80, 119, 0.120)
      (81, 83, 0.378)
      (81, 84, 0.762)
      (81, 85, 0.999)
      (81, 87, 0.785)
      (81, 88, 0.049)
      (81, 89, 0.682)
      (81, 90, 0.268)
      (81, 91, 0.976)
      (81, 94, 0.968)
      (81, 95, 0.097)
      (81, 102, 0.664)
      (81, 104, 0.256)
      (81, 107, 0.755)
      (81, 109, 0.469)
      (81, 110, 0.811)
      (81, 111, 0.924)
      (81, 112, 0.459)
      (81, 113, 0.652)
      (81, 114, 0.108)
      (81, 116, 0.132)
      (81, 117, 0.589)
      (82, 86, 0.729)
      (82, 88, 0.833)
      (82, 90, 0.157)
      (82, 92, 0.327)
      (82, 97, 0.012)
      (82, 101, 0.929)
      (82, 102, 0.452)
      (82, 107, 0.557)
      (82, 108, 0.732)
      (82, 109, 0.975)
      (82, 111, 0.347)
      (82, 113, 0.839)
      (82, 115, 0.222)
      (82, 117, 0.966)
      (82, 118, 0.850)
      (83, 86, 0.472)
      (83, 87, 0.475)
      (83, 90, 0.722)
      (83, 100, 0.777)
      (83, 101, 0.357)
      (83, 102, 0.781)
      (83, 105, 0.897)
      (83, 111, 0.619)
      (83, 112, 0.452)
      (83, 113, 0.803)
      (83, 116, 0.829)
      (84, 85, 0.868)
      (84, 87, 0.227)
      (84, 88, 0.824)
      (84, 89, 0.706)
      (84, 91, 0.273)
      (84, 92, 0.686)
      (84, 96, 0.118)
      (84, 98, 0.820)
      (84, 102, 0.384)
      (84, 103, 0.195)
      (84, 104, 0.346)
      (84, 108, 0.008)
      (84, 110, 0.030)
      (84, 111, 0.556)
      (84, 112, 0.640)
      (84, 113, 0.711)
      (84, 115, 0.857)
      (84, 118, 0.552)
      (84, 119, 0.564)
      (85, 88, 0.504)
      (85, 89, 0.872)
      (85, 90, 0.404)
      (85, 93, 0.458)
      (85, 94, 0.316)
      (85, 95, 0.006)
      (85, 96, 0.434)
      (85, 97, 0.764)
      (85, 98, 0.052)
      (85, 100, 0.082)
      (85, 101, 0.543)
      (85, 102, 0.820)
      (85, 103, 0.775)
      (85, 104, 0.192)
      (85, 105, 0.982)
      (85, 106, 0.231)
      (85, 108, 0.123)
      (85, 111, 0.443)
      (85, 112, 0.301)
      (85, 115, 0.416)
      (85, 117, 0.187)
      (85, 118, 0.200)
      (85, 119, 0.290)
      (86, 88, 0.107)
      (86, 94, 0.634)
      (86, 95, 0.479)
      (86, 96, 0.175)
      (86, 98, 0.593)
      (86, 99, 0.462)
      (86, 106, 0.866)
      (86, 109, 0.350)
      (86, 111, 0.286)
      (86, 113, 0.423)
      (86, 114, 0.424)
      (86, 115, 0.419)
      (86, 118, 0.751)
      (87, 88, 0.788)
      (87, 92, 0.355)
      (87, 93, 0.415)
      (87, 94, 0.673)
      (87, 95, 0.859)
      (87, 96, 0.810)
      (87, 97, 0.613)
      (87, 98, 0.380)
      (87, 99, 0.327)
      (87, 101, 0.109)
      (87, 103, 0.492)
      (87, 104, 0.427)
      (87, 105, 0.351)
      (87, 107, 0.845)
      (87, 108, 0.056)
      (87, 109, 0.461)
      (87, 110, 0.032)
      (87, 112, 0.753)
      (87, 117, 0.885)
      (88, 93, 0.020)
      (88, 94, 0.748)
      (88, 97, 0.993)
      (88, 98, 0.018)
      (88, 99, 0.210)
      (88, 103, 0.703)
      (88, 104, 0.507)
      (88, 106, 0.998)
      (88, 108, 0.213)
      (88, 110, 0.899)
      (88, 111, 0.401)
      (88, 112, 0.198)
      (88, 113, 0.381)
      (88, 116, 0.671)
      (89, 91, 0.873)
      (89, 100, 0.833)
      (89, 101, 0.309)
      (89, 102, 0.865)
      (89, 103, 0.105)
      (89, 104, 0.932)
      (89, 107, 0.602)
      (89, 108, 0.724)
      (89, 111, 0.633)
      (89, 112, 0.866)
      (89, 115, 0.255)
      (89, 116, 0.538)
      (89, 117, 0.157)
      (90, 91, 0.979)
      (90, 92, 0.471)
      (90, 94, 0.176)
      (90, 97, 0.463)
      (90, 98, 0.256)
      (90, 100, 0.472)
      (90, 103, 0.678)
      (90, 104, 0.091)
      (90, 110, 0.949)
      (90, 112, 0.379)
      (90, 113, 0.184)
      (90, 115, 0.670)
      (90, 118, 0.572)
      (90, 119, 0.479)
      (91, 95, 0.619)
      (91, 97, 0.386)
      (91, 99, 0.685)
      (91, 103, 0.291)
      (91, 104, 0.712)
      (91, 107, 0.857)
      (91, 108, 0.473)
      (91, 109, 0.688)
      (91, 110, 0.136)
      (91, 113, 0.843)
      (91, 118, 0.172)
      (92, 93, 0.939)
      (92, 94, 0.754)
      (92, 96, 0.548)
      (92, 97, 0.050)
      (92, 99, 0.947)
      (92, 100, 0.254)
      (92, 102, 0.023)
      (92, 103, 0.784)
      (92, 105, 0.177)
      (92, 109, 0.712)
      (92, 112, 0.047)
      (92, 114, 0.747)
      (92, 116, 0.682)
      (92, 117, 0.969)
      (92, 119, 0.171)
      (93, 94, 0.945)
      (93, 95, 0.448)
      (93, 96, 0.040)
      (93, 98, 0.083)
      (93, 103, 0.080)
      (93, 108, 0.752)
      (93, 110, 0.166)
      (93, 111, 0.268)
      (93, 112, 0.498)
      (93, 113, 0.597)
      (93, 116, 0.548)
      (93, 117, 0.011)
      (93, 118, 0.566)
      (94, 96, 0.335)
      (94, 100, 0.215)
      (94, 102, 0.145)
      (94, 103, 0.383)
      (94, 105, 0.495)
      (94, 108, 0.989)
      (94, 110, 0.614)
      (94, 111, 0.585)
      (94, 112, 0.475)
      (94, 115, 0.011)
      (94, 117, 0.797)
      (94, 119, 0.405)
      (95, 102, 0.208)
      (95, 103, 0.802)
      (95, 105, 0.792)
      (95, 107, 0.084)
      (95, 110, 0.113)
      (95, 111, 0.462)
      (95, 113, 0.317)
      (95, 114, 0.182)
      (95, 115, 0.671)
      (96, 101, 0.150)
      (96, 102, 0.654)
      (96, 105, 0.342)
      (96, 112, 0.712)
      (96, 114, 0.670)
      (96, 116, 0.115)
      (96, 117, 0.581)
      (97, 98, 0.099)
      (97, 99, 0.628)
      (97, 100, 0.835)
      (97, 102, 0.223)
      (97, 103, 0.817)
      (97, 107, 0.321)
      (97, 109, 0.320)
      (97, 111, 0.209)
      (97, 113, 0.601)
      (97, 114, 0.269)
      (97, 116, 0.033)
      (97, 117, 0.603)
      (97, 118, 0.159)
      (98, 99, 0.025)
      (98, 100, 0.535)
      (98, 102, 0.774)
      (98, 103, 0.726)
      (98, 104, 0.723)
      (98, 105, 0.078)
      (98, 106, 0.935)
      (98, 110, 0.137)
      (98, 112, 0.620)
      (98, 114, 0.352)
      (98, 115, 0.387)
      (98, 116, 0.908)
      (98, 119, 0.748)
      (99, 103, 0.056)
      (99, 104, 0.117)
      (99, 105, 0.779)
      (99, 107, 0.691)
      (99, 111, 0.284)
      (99, 112, 0.115)
      (99, 113, 0.039)
      (99, 114, 0.384)
      (99, 115, 0.286)
      (99, 116, 0.124)
      (100, 104, 0.538)
      (100, 105, 0.810)
      (100, 108, 0.033)
      (100, 110, 0.357)
      (100, 116, 0.631)
      (100, 118, 0.438)
      (100, 119, 0.158)
      (101, 103, 0.079)
      (101, 105, 0.515)
      (101, 107, 0.237)
      (101, 108, 0.241)
      (101, 109, 0.859)
      (101, 111, 0.305)
      (101, 112, 0.169)
      (101, 115, 0.156)
      (101, 119, 0.727)
      (102, 105, 0.950)
      (102, 106, 0.112)
      (102, 108, 0.145)
      (102, 109, 0.429)
      (102, 111, 0.569)
      (102, 112, 0.286)
      (102, 116, 0.564)
      (102, 119, 0.474)
      (103, 109, 0.090)
      (103, 110, 0.366)
      (103, 113, 0.798)
      (103, 114, 0.673)
      (103, 116, 0.111)
      (103, 117, 0.655)
      (103, 118, 0.665)
      (103, 119, 0.459)
      (104, 105, 0.779)
      (104, 106, 0.871)
      (104, 112, 0.747)
      (104, 114, 0.319)
      (104, 117, 0.079)
      (105, 107, 0.330)
      (105, 110, 0.457)
      (105, 111, 0.335)
      (105, 112, 0.357)
      (105, 113, 0.577)
      (105, 115, 0.358)
      (105, 116, 0.943)
      (105, 118, 0.071)
      (106, 112, 0.794)
      (106, 114, 0.172)
      (106, 115, 0.710)
      (106, 116, 0.737)
      (106, 118, 0.640)
      (106, 119, 0.170)
      (107, 108, 0.165)
      (107, 111, 0.809)
      (107, 113, 0.539)
      (107, 114, 0.141)
      (107, 116, 0.421)
      (107, 117, 0.727)
      (107, 118, 0.797)
      (107, 119, 0.956)
      (108, 110, 0.630)
      (108, 113, 0.716)
      (108, 115, 0.362)
      (108, 116, 0.778)
      (108, 117, 0.114)
      (108, 119, 0.984)
      (109, 110, 0.486)
      (109, 113, 0.394)
      (109, 114, 0.339)
      (109, 115, 0.875)
      (109, 116, 0.004)
      (109, 117, 0.723)
      (109, 119, 0.787)
      (110, 111, 0.155)
      (110, 112, 0.481)
      (110, 113, 0.511)
      (110, 114, 0.154)
      (110, 115, 0.081)
      (110, 117, 0.014)
      (110, 119, 0.438)
      (111, 113, 0.266)
      (111, 115, 0.089)
      (111, 116, 0.018)
      (111, 117, 0.304)
      (111, 118, 0.533)
      (112, 113, 0.977)
      (112, 114, 0.971)
      (112, 117, 0.778)
      (113, 117, 0.783)
      (113, 119, 0.196)
      (114, 115, 0.695)
      (114, 118, 0.207)
      (115, 116, 0.817)
      (115, 117, 0.476)
      (115, 119, 0.428)
      (116, 117, 0.327)
      (116, 118, 0.110)
      (116, 119, 0.306)
      (117, 118, 0.634) }
---------------- 

** G13: |V|=130  V={0,1,...,129}
(u, v, w) E = { 
      ( 0,  1, 0.787)
      ( 0,  3, 0.936)
      ( 0,  5, 0.329)
      ( 0,  6, 0.503)
      ( 0,  7, 0.033)
      ( 0,  9, 0.513)
      ( 0, 10, 0.306)
      ( 0, 11, 0.005)
      ( 0, 13, 0.221)
      ( 0, 14, 0.652)
      ( 0, 16, 0.260)
      ( 0, 17, 0.383)
      ( 0, 18, 0.476)
      ( 0, 20, 0.198)
      ( 0, 21, 0.108)
      ( 0, 22, 0.159)
      ( 0, 23, 0.562)
      ( 0, 24, 0.076)
      ( 0, 26, 0.971)
      ( 0, 27, 0.029)
      ( 0, 30, 0.168)
      ( 0, 31, 0.765)
      ( 0, 33, 0.137)
      ( 0, 35, 0.003)
      ( 0, 37, 0.630)
      ( 0, 38, 0.141)
      ( 0, 39, 0.232)
      ( 0, 42, 0.065)
      ( 0, 43, 0.197)
      ( 0, 44, 0.090)
      ( 0, 45, 0.839)
      ( 0, 48, 0.391)
      ( 0, 49, 0.295)
      ( 0, 54, 0.991)
      ( 0, 56, 0.427)
      ( 0, 57, 0.798)
      ( 0, 58, 0.361)
      ( 0, 62, 0.922)
      ( 0, 64, 0.330)
      ( 0, 65, 0.183)
      ( 0, 71, 0.743)
      ( 0, 72, 0.156)
      ( 0, 73, 0.696)
      ( 0, 77, 0.385)
      ( 0, 78, 0.820)
      ( 0, 80, 0.345)
      ( 0, 83, 0.786)
      ( 0, 84, 0.047)
      ( 0, 85, 0.008)
      ( 0, 86, 0.584)
      ( 0, 88, 0.714)
      ( 0, 89, 0.822)
      ( 0, 91, 0.523)
      ( 0, 92, 0.420)
      ( 0, 97, 0.773)
      ( 0, 98, 0.453)
      ( 0, 99, 0.851)
      ( 0, 100, 0.741)
      ( 0, 101, 0.760)
      ( 0, 103, 0.062)
      ( 0, 105, 0.637)
      ( 0, 106, 0.390)
      ( 0, 108, 0.291)
      ( 0, 111, 0.303)
      ( 0, 112, 0.354)
      ( 0, 113, 0.321)
      ( 0, 114, 0.998)
      ( 0, 115, 0.821)
      ( 0, 116, 0.444)
      ( 0, 119, 0.067)
      ( 0, 124, 0.574)
      ( 0, 127, 0.881)
      ( 0, 128, 0.807)
      ( 1,  3, 0.294)
      ( 1,  4, 0.122)
      ( 1,  5, 0.903)
      ( 1,  7, 0.438)
      ( 1,  9, 0.297)
      ( 1, 10, 0.928)
      ( 1, 12, 0.062)
      ( 1, 18, 0.748)
      ( 1, 19, 0.305)
      ( 1, 25, 0.770)
      ( 1, 27, 0.105)
      ( 1, 28, 0.582)
      ( 1, 29, 0.617)
      ( 1, 31, 0.149)
      ( 1, 33, 0.989)
      ( 1, 34, 0.253)
      ( 1, 35, 0.687)
      ( 1, 38, 0.382)
      ( 1, 39, 0.012)
      ( 1, 41, 0.962)
      ( 1, 42, 0.482)
      ( 1, 44, 0.292)
      ( 1, 45, 0.631)
      ( 1, 46, 0.816)
      ( 1, 48, 0.571)
      ( 1, 51, 0.398)
      ( 1, 52, 0.256)
      ( 1, 54, 0.296)
      ( 1, 56, 0.710)
      ( 1, 58, 0.836)
      ( 1, 60, 0.946)
      ( 1, 62, 0.420)
      ( 1, 63, 0.867)
      ( 1, 64, 0.966)
      ( 1, 66, 0.052)
      ( 1, 69, 0.036)
      ( 1, 71, 0.995)
      ( 1, 72, 0.539)
      ( 1, 73, 0.560)
      ( 1, 74, 0.659)
      ( 1, 76, 0.109)
      ( 1, 78, 0.563)
      ( 1, 79, 0.079)
      ( 1, 80, 0.018)
      ( 1, 81, 0.647)
      ( 1, 85, 0.493)
      ( 1, 86, 0.176)
      ( 1, 89, 0.983)
      ( 1, 90, 0.420)
      ( 1, 91, 0.193)
      ( 1, 92, 0.024)
      ( 1, 94, 0.903)
      ( 1, 96, 0.911)
      ( 1, 98, 0.187)
      ( 1, 103, 0.144)
      ( 1, 104, 0.438)
      ( 1, 105, 0.104)
      ( 1, 106, 0.071)
      ( 1, 110, 0.348)
      ( 1, 112, 0.864)
      ( 1, 115, 0.517)
      ( 1, 123, 0.609)
      ( 1, 124, 0.878)
      ( 1, 125, 0.488)
      ( 1, 126, 0.615)
      ( 1, 127, 0.958)
      ( 1, 128, 0.099)
      ( 1, 129, 0.247)
      ( 2,  3, 0.319)
      ( 2,  4, 0.659)
      ( 2,  5, 0.082)
      ( 2,  6, 0.766)
      ( 2,  8, 0.905)
      ( 2, 11, 0.543)
      ( 2, 13, 0.834)
      ( 2, 14, 0.191)
      ( 2, 17, 0.171)
      ( 2, 18, 0.424)
      ( 2, 19, 0.950)
      ( 2, 21, 0.851)
      ( 2, 25, 0.417)
      ( 2, 26, 0.554)
      ( 2, 27, 0.969)
      ( 2, 32, 0.403)
      ( 2, 33, 0.405)
      ( 2, 34, 0.091)
      ( 2, 35, 0.800)
      ( 2, 38, 0.427)
      ( 2, 44, 0.209)
      ( 2, 45, 0.485)
      ( 2, 49, 0.119)
      ( 2, 50, 0.594)
      ( 2, 53, 0.545)
      ( 2, 55, 0.540)
      ( 2, 58, 0.829)
      ( 2, 59, 0.411)
      ( 2, 60, 0.976)
      ( 2, 61, 0.119)
      ( 2, 63, 0.246)
      ( 2, 65, 0.264)
      ( 2, 66, 0.138)
      ( 2, 67, 0.888)
      ( 2, 68, 0.926)
      ( 2, 69, 0.905)
      ( 2, 70, 0.974)
      ( 2, 72, 0.239)
      ( 2, 73, 0.692)
      ( 2, 75, 0.841)
      ( 2, 77, 0.826)
      ( 2, 78, 0.545)
      ( 2, 84, 0.739)
      ( 2, 85, 0.062)
      ( 2, 86, 0.085)
      ( 2, 88, 0.209)
      ( 2, 89, 0.388)
      ( 2, 90, 0.374)
      ( 2, 93, 0.047)
      ( 2, 94, 0.534)
      ( 2, 96, 0.436)
      ( 2, 97, 0.228)
      ( 2, 98, 0.552)
      ( 2, 102, 0.309)
      ( 2, 103, 0.837)
      ( 2, 107, 0.257)
      ( 2, 108, 0.975)
      ( 2, 109, 0.141)
      ( 2, 110, 0.850)
      ( 2, 112, 0.940)
      ( 2, 113, 0.112)
      ( 2, 114, 0.007)
      ( 2, 116, 0.662)
      ( 2, 118, 0.719)
      ( 2, 119, 0.604)
      ( 2, 120, 0.160)
      ( 2, 125, 0.953)
      ( 2, 127, 0.637)
      ( 3,  4, 0.546)
      ( 3,  5, 0.567)
      ( 3,  6, 0.799)
      ( 3,  7, 0.038)
      ( 3,  9, 0.085)
      ( 3, 10, 0.273)
      ( 3, 12, 0.845)
      ( 3, 13, 0.187)
      ( 3, 14, 0.904)
      ( 3, 17, 0.653)
      ( 3, 18, 0.647)
      ( 3, 19, 0.705)
      ( 3, 21, 0.697)
      ( 3, 23, 0.360)
      ( 3, 24, 0.707)
      ( 3, 25, 0.562)
      ( 3, 30, 0.886)
      ( 3, 32, 0.843)
      ( 3, 33, 0.740)
      ( 3, 35, 0.019)
      ( 3, 38, 0.098)
      ( 3, 40, 0.758)
      ( 3, 42, 0.399)
      ( 3, 43, 0.276)
      ( 3, 44, 0.167)
      ( 3, 45, 0.210)
      ( 3, 46, 0.764)
      ( 3, 47, 0.824)
      ( 3, 50, 0.706)
      ( 3, 51, 0.767)
      ( 3, 54, 0.656)
      ( 3, 56, 0.419)
      ( 3, 57, 0.633)
      ( 3, 64, 0.385)
      ( 3, 65, 0.976)
      ( 3, 68, 0.373)
      ( 3, 75, 0.366)
      ( 3, 76, 0.929)
      ( 3, 79, 0.067)
      ( 3, 80, 0.398)
      ( 3, 81, 0.814)
      ( 3, 84, 0.752)
      ( 3, 87, 0.348)
      ( 3, 93, 0.523)
      ( 3, 94, 0.670)
      ( 3, 102, 0.877)
      ( 3, 103, 0.271)
      ( 3, 104, 0.721)
      ( 3, 105, 0.999)
      ( 3, 106, 0.703)
      ( 3, 109, 0.002)
      ( 3, 112, 0.760)
      ( 3, 114, 0.554)
      ( 3, 117, 0.773)
      ( 3, 118, 0.085)
      ( 3, 119, 0.427)
      ( 3, 123, 0.789)
      ( 3, 125, 0.088)
      ( 3, 129, 0.751)
      ( 4,  5, 0.749)
      ( 4, 11, 0.062)
      ( 4, 14, 0.634)
      ( 4, 15, 0.472)
      ( 4, 16, 0.011)
      ( 4, 19, 0.100)
      ( 4, 20, 0.296)
      ( 4, 21, 0.805)
      ( 4, 22, 0.408)
      ( 4, 26, 0.398)
      ( 4, 27, 0.077)
      ( 4, 28, 0.576)
      ( 4, 30, 0.940)
      ( 4, 36, 0.861)
      ( 4, 44, 0.609)
      ( 4, 46, 0.982)
      ( 4, 47, 0.701)
      ( 4, 49, 0.651)
      ( 4, 53, 0.260)
      ( 4, 54, 0.233)
      ( 4, 56, 0.103)
      ( 4, 57, 0.919)
      ( 4, 58, 0.748)
      ( 4, 59, 0.955)
      ( 4, 61, 0.648)
      ( 4, 62, 0.810)
      ( 4, 63, 0.075)
      ( 4, 66, 0.674)
      ( 4, 67, 0.808)
      ( 4, 73, 0.895)
      ( 4, 77, 0.767)
      ( 4, 78, 0.384)
      ( 4, 79, 0.259)
      ( 4, 80, 0.970)
      ( 4, 84, 0.846)
      ( 4, 85, 0.344)
      ( 4, 87, 0.147)
      ( 4, 90, 0.003)
      ( 4, 93, 0.710)
      ( 4, 94, 0.984)
      ( 4, 95, 0.373)
      ( 4, 98, 0.826)
      ( 4, 99, 0.105)
      ( 4, 103, 0.045)
      ( 4, 104, 0.858)
      ( 4, 105, 0.087)
      ( 4, 106, 0.682)
      ( 4, 108, 0.840)
      ( 4, 113, 0.616)
      ( 4, 119, 0.874)
      ( 4, 120, 0.195)
      ( 4, 121, 0.829)
      ( 4, 123, 0.006)
      ( 4, 124, 0.372)
      ( 4, 125, 0.260)
      ( 4, 128, 0.555)
      ( 5,  9, 0.958)
      ( 5, 10, 0.904)
      ( 5, 13, 0.763)
      ( 5, 14, 0.337)
      ( 5, 16, 0.093)
      ( 5, 18, 0.686)
      ( 5, 20, 0.381)
      ( 5, 21, 0.022)
      ( 5, 22, 0.594)
      ( 5, 25, 0.704)
      ( 5, 30, 0.416)
      ( 5, 38, 0.534)
      ( 5, 39, 0.448)
      ( 5, 40, 0.163)
      ( 5, 45, 0.141)
      ( 5, 47, 0.911)
      ( 5, 48, 0.108)
      ( 5, 52, 0.073)
      ( 5, 53, 0.068)
      ( 5, 54, 0.020)
      ( 5, 56, 0.981)
      ( 5, 57, 0.672)
      ( 5, 58, 0.156)
      ( 5, 59, 0.168)
      ( 5, 60, 0.158)
      ( 5, 61, 0.542)
      ( 5, 62, 0.780)
      ( 5, 64, 0.365)
      ( 5, 65, 0.663)
      ( 5, 66, 0.483)
      ( 5, 71, 0.379)
      ( 5, 75, 0.108)
      ( 5, 76, 0.148)
      ( 5, 78, 0.424)
      ( 5, 80, 0.119)
      ( 5, 82, 0.153)
      ( 5, 83, 0.318)
      ( 5, 84, 0.919)
      ( 5, 87, 0.566)
      ( 5, 89, 0.900)
