1 directed weighted graphs; all are reachable from vertex 0.

** G1: |V| = 1000
(u, v) E = { 
      (315, 446, 0.09999)
      (315, 453, 0.99870)
      (315, 483, 0.52543)
      (315, 534, 0.91764)
      (315, 538, 0.07177)
      (315, 558, 0.38198)
      (315, 568, 0.93362)
      (315, 573, 0.17639)
      (315, 603, 0.27209)
      (315, 630, 0.47365)
      (315, 632, 0.18899)
      (315, 671, 0.38616)
      (315, 690, 0.45407)
      (315, 698, 0.33348)
      (315, 710, 0.07794)
      (315, 723, 0.65041)
      (315, 725, 0.92104)
      (315, 732, 0.22985)
      (315, 735, 0.16256)
      (315, 804, 0.68556)
      (315, 811, 0.63476)
      (315, 824, 0.92501)
      (315, 835, 0.02857)
      (315, 836, 0.67531)
      (315, 858, 0.17220)
      (315, 862, 0.63680)
      (315, 908, 0.78570)
      (315, 916, 0.28303)
      (315, 933, 0.36319)
      (315, 967, 0.31186)
      (315, 990, 0.57985)
      (316,  5, 0.11961)
      (316, 30, 0.52392)
      (316, 34, 0.74776)
      (316, 63, 0.09558)
      (316, 123, 0.86836)
      (316, 174, 0.82698)
      (316, 175, 0.19136)
      (316, 208, 0.44366)
      (316, 219, 0.91975)
      (316, 221, 0.17614)
      (316, 237, 0.25955)
      (316, 243, 0.75632)
      (316, 266, 0.79324)
      (316, 272, 0.59092)
      (316, 285, 0.99440)
      (316, 292, 0.20763)
      (316, 304, 0.03765)
      (316, 318, 0.99138)
      (316, 349, 0.83098)
      (316, 350, 0.64727)
      (316, 357, 0.33485)
      (316, 364, 0.98742)
      (316, 406, 0.35360)
      (316, 418, 0.72351)
      (316, 428, 0.96815)
      (316, 440, 0.80898)
      (316, 441, 0.66698)
      (316, 490, 0.08568)
      (316, 512, 0.84810)
      (316, 525, 0.84474)
      (316, 535, 0.46398)
      (316, 544, 0.39995)
      (316, 556, 0.53887)
      (316, 567, 0.98007)
      (316, 578, 0.93639)
      (316, 583, 0.81810)
      (316, 600, 0.72266)
      (316, 607, 0.00903)
      (316, 638, 0.43532)
      (316, 646, 0.63543)
      (316, 708, 0.56412)
      (316, 710, 0.60881)
      (316, 723, 0.82326)
      (316, 728, 0.30602)
      (316, 763, 0.31400)
      (316, 764, 0.09618)
      (316, 783, 0.92792)
      (316, 801, 0.83508)
      (316, 847, 0.11591)
      (316, 854, 0.60480)
      (316, 864, 0.89159)
      (316, 913, 0.24921)
      (316, 926, 0.39718)
      (316, 930, 0.15434)
      (316, 932, 0.92101)
      (316, 957, 0.14087)
      (316, 960, 0.47706)
      (316, 964, 0.19072)
      (316, 980, 0.55147)
      (317, 77, 0.34809)
      (317, 104, 0.31177)
      (317, 125, 0.33584)
      (317, 182, 0.69575)
      (317, 191, 0.22731)
      (317, 227, 0.71539)
      (317, 255, 0.00370)
      (317, 265, 0.93542)
      (317, 276, 0.03374)
      (317, 310, 0.41604)
      (317, 352, 0.62522)
      (317, 356, 0.00825)
      (317, 362, 0.20643)
      (317, 383, 0.88596)
      (317, 405, 0.26195)
      (317, 416, 0.95250)
      (317, 417, 0.30551)
      (317, 443, 0.08096)
      (317, 479, 0.47193)
      (317, 481, 0.40392)
      (317, 529, 0.00072)
      (317, 536, 0.15363)
      (317, 570, 0.75683)
      (317, 597, 0.54960)
      (317, 606, 0.93787)
      (317, 627, 0.43471)
      (317, 670, 0.53244)
      (317, 672, 0.84117)
      (317, 700, 0.99201)
      (317, 708, 0.39275)
      (317, 710, 0.78435)
      (317, 717, 0.88958)
      (317, 763, 0.68709)
      (317, 768, 0.03329)
      (317, 781, 0.04386)
      (317, 796, 0.89481)
      (317, 811, 0.17172)
      (317, 833, 0.58335)
      (317, 838, 0.74418)
      (317, 845, 0.57122)
      (317, 862, 0.50825)
      (317, 868, 0.97070)
      (317, 878, 0.17065)
      (317, 923, 0.53879)
      (317, 940, 0.70053)
      (317, 972, 0.60015)
      (318,  4, 0.99002)
      (318, 28, 0.31919)
      (318, 36, 0.72206)
      (318, 49, 0.69002)
      (318, 77, 0.14624)
      (318, 111, 0.77648)
      (318, 113, 0.47643)
      (318, 149, 0.36919)
      (318, 155, 0.39122)
      (318, 163, 0.26681)
      (318, 168, 0.97938)
      (318, 189, 0.90579)
      (318, 191, 0.49071)
      (318, 208, 0.04310)
      (318, 210, 0.02358)
      (318, 218, 0.56421)
      (318, 226, 0.11643)
      (318, 227, 0.73848)
      (318, 241, 0.28060)
      (318, 248, 0.30784)
      (318, 255, 0.43986)
      (318, 259, 0.74757)
      (318, 261, 0.82927)
      (318, 273, 0.11645)
      (318, 287, 0.42076)
      (318, 305, 0.82353)
      (318, 308, 0.88708)
      (318, 323, 0.73346)
      (318, 332, 0.27673)
      (318, 336, 0.06861)
      (318, 340, 0.18668)
      (318, 341, 0.19948)
      (318, 353, 0.01316)
      (318, 380, 0.45700)
      (318, 388, 0.51214)
      (318, 393, 0.85019)
      (318, 443, 0.18479)
      (318, 462, 0.21783)
      (318, 463, 0.06989)
      (318, 466, 0.05051)
      (318, 497, 0.50390)
      (318, 532, 0.79936)
      (318, 536, 0.07498)
      (318, 568, 0.97656)
      (318, 575, 0.34608)
      (318, 630, 0.70660)
      (318, 640, 0.90591)
      (318, 646, 0.68047)
      (318, 682, 0.69451)
      (318, 691, 0.12956)
      (318, 730, 0.48744)
      (318, 737, 0.66776)
      (318, 759, 0.62720)
      (318, 778, 0.04304)
      (318, 784, 0.74126)
      (318, 795, 0.52411)
      (318, 800, 0.89015)
      (318, 811, 0.07760)
      (318, 827, 0.23090)
      (318, 840, 0.90116)
      (318, 847, 0.80490)
      (318, 872, 0.65042)
      (318, 874, 0.67207)
      (318, 891, 0.16709)
      (318, 898, 0.70165)
      (318, 924, 0.11945)
      (318, 947, 0.23788)
      (318, 981, 0.22567)
      (319, 25, 0.32886)
      (319, 36, 0.96704)
      (319, 39, 0.49411)
      (319, 48, 0.57645)
      (319, 56, 0.11837)
      (319, 59, 0.59748)
      (319, 60, 0.35337)
      (319, 110, 0.47537)
      (319, 115, 0.87470)
      (319, 185, 0.98385)
      (319, 186, 0.57661)
      (319, 208, 0.14342)
      (319, 214, 0.22398)
      (319, 223, 0.99285)
      (319, 230, 0.57879)
      (319, 240, 0.31342)
      (319, 266, 0.53606)
      (319, 292, 0.29218)
      (319, 294, 0.59505)
      (319, 306, 0.09725)
      (319, 314, 0.28678)
      (319, 352, 0.14061)
      (319, 376, 0.75100)
      (319, 383, 0.23879)
      (319, 389, 0.01076)
      (319, 421, 0.80910)
      (319, 429, 0.28038)
      (319, 440, 0.33208)
      (319, 500, 0.09420)
      (319, 506, 0.49739)
      (319, 519, 0.72459)
      (319, 521, 0.07939)
      (319, 524, 0.38396)
      (319, 572, 0.02762)
      (319, 584, 0.55149)
      (319, 619, 0.01788)
      (319, 636, 0.47441)
      (319, 644, 0.77132)
      (319, 647, 0.82462)
      (319, 648, 0.00846)
      (319, 653, 0.61624)
      (319, 654, 0.09042)
      (319, 655, 0.39735)
      (319, 684, 0.49814)
      (319, 685, 0.98480)
      (319, 697, 0.01660)
      (319, 700, 0.88379)
      (319, 777, 0.92711)
      (319, 792, 0.99251)
      (319, 836, 0.07605)
      (319, 856, 0.89294)
      (319, 861, 0.63823)
      (319, 871, 0.43742)
      (319, 873, 0.41935)
      (319, 874, 0.70443)
      (319, 875, 0.69689)
      (319, 887, 0.26908)
      (319, 889, 0.24856)
      (319, 896, 0.32970)
      (319, 904, 0.79387)
      (319, 908, 0.02720)
      (319, 927, 0.39509)
      (319, 932, 0.08161)
      (319, 950, 0.32962)
      (319, 953, 0.76289)
      (319, 961, 0.13359)
      (319, 963, 0.19948)
      (319, 967, 0.09906)
      (319, 981, 0.96419)
      (319, 989, 0.15788)
      (319, 999, 0.62977)
      (320, 32, 0.27852)
      (320, 83, 0.34146)
      (320, 93, 0.12374)
      (320, 108, 0.18764)
      (320, 110, 0.10893)
      (320, 118, 0.03912)
      (320, 140, 0.27874)
      (320, 152, 0.93017)
      (320, 155, 0.13491)
      (320, 169, 0.84905)
      (320, 178, 0.04863)
      (320, 187, 0.51088)
      (320, 249, 0.22904)
      (320, 250, 0.66414)
      (320, 278, 0.04107)
      (320, 285, 0.57796)
      (320, 309, 0.39898)
      (320, 330, 0.18718)
      (320, 331, 0.20043)
      (320, 335, 0.95150)
      (320, 343, 0.17816)
      (320, 383, 0.64454)
      (320, 399, 0.28004)
      (320, 400, 0.86849)
      (320, 417, 0.80926)
      (320, 427, 0.29544)
      (320, 449, 0.63095)
      (320, 453, 0.45876)
      (320, 454, 0.87180)
      (320, 455, 0.40552)
      (320, 512, 0.26651)
      (320, 516, 0.16472)
      (320, 517, 0.53871)
      (320, 567, 0.58577)
      (320, 596, 0.19818)
      (320, 648, 0.61123)
      (320, 666, 0.19733)
      (320, 692, 0.04315)
      (320, 726, 0.45701)
      (320, 733, 0.05011)
      (320, 734, 0.20680)
      (320, 751, 0.30243)
      (320, 752, 0.87419)
      (320, 773, 0.99336)
      (320, 793, 0.43906)
      (320, 795, 0.72727)
      (320, 800, 0.04275)
      (320, 814, 0.10169)
      (320, 830, 0.05125)
      (320, 854, 0.06646)
      (320, 885, 0.03052)
      (320, 900, 0.51584)
      (320, 913, 0.82748)
      (320, 968, 0.14284)
      (320, 982, 0.74982)
      (320, 983, 0.66577)
      (321,  4, 0.14503)
      (321, 21, 0.09972)
      (321, 41, 0.11546)
      (321, 47, 0.13954)
      (321, 62, 0.00630)
      (321, 91, 0.23973)
      (321, 105, 0.52722)
      (321, 130, 0.01594)
      (321, 145, 0.73571)
      (321, 148, 0.55364)
      (321, 194, 0.21559)
      (321, 210, 0.08910)
      (321, 213, 0.50504)
      (321, 222, 0.18308)
      (321, 254, 0.38444)
      (321, 264, 0.31292)
      (321, 302, 0.88798)
      (321, 348, 0.81199)
      (321, 360, 0.83008)
      (321, 367, 0.84397)
      (321, 371, 0.61844)
      (321, 389, 0.04690)
      (321, 414, 0.91751)
      (321, 417, 0.88217)
      (321, 422, 0.07504)
      (321, 433, 0.93677)
      (321, 447, 0.76387)
      (321, 483, 0.31205)
      (321, 562, 0.97250)
      (321, 566, 0.66028)
      (321, 568, 0.51122)
      (321, 575, 0.85457)
      (321, 580, 0.48315)
      (321, 622, 0.36936)
      (321, 630, 0.37156)
      (321, 640, 0.39582)
      (321, 642, 0.03459)
      (321, 669, 0.55762)
      (321, 675, 0.63315)
      (321, 680, 0.90924)
      (321, 693, 0.63083)
      (321, 717, 0.49989)
      (321, 719, 0.40207)
      (321, 734, 0.92093)
      (321, 744, 0.05841)
      (321, 780, 0.85187)
      (321, 781, 0.09370)
      (321, 806, 0.78239)
      (321, 819, 0.32576)
      (321, 826, 0.58226)
      (321, 915, 0.96448)
      (321, 952, 0.54183)
      (321, 979, 0.76881)
      (321, 982, 0.39043)
      (321, 991, 0.26540)
      (321, 992, 0.35071)
      (321, 993, 0.59301)
      (321, 997, 0.41209)
      (322, 11, 0.29060)
      (322, 58, 0.79499)
      (322, 110, 0.72219)
      (322, 143, 0.86280)
      (322, 145, 0.99705)
      (322, 148, 0.08861)
      (322, 157, 0.33503)
      (322, 178, 0.56041)
      (322, 198, 0.58759)
      (322, 214, 0.02578)
      (322, 253, 0.36498)
      (322, 281, 0.75917)
      (322, 305, 0.88978)
      (322, 311, 0.78825)
      (322, 369, 0.13853)
      (322, 380, 0.20953)
      (322, 392, 0.32628)
      (322, 407, 0.02977)
      (322, 457, 0.61724)
      (322, 461, 0.77117)
      (322, 472, 0.56224)
      (322, 498, 0.85431)
      (322, 501, 0.63060)
      (322, 502, 0.99345)
      (322, 506, 0.91641)
      (322, 531, 0.31226)
      (322, 563, 0.66015)
      (322, 576, 0.74703)
      (322, 585, 0.91777)
      (322, 616, 0.52668)
      (322, 618, 0.33470)
      (322, 629, 0.36206)
      (322, 639, 0.18724)
      (322, 654, 0.63753)
      (322, 698, 0.87252)
      (322, 702, 0.66148)
      (322, 711, 0.63111)
      (322, 716, 0.94373)
      (322, 723, 0.15207)
      (322, 768, 0.37251)
      (322, 776, 0.54837)
      (322, 780, 0.13952)
      (322, 789, 0.09254)
      (322, 794, 0.23074)
      (322, 804, 0.33731)
      (322, 810, 0.24241)
      (322, 833, 0.96490)
      (322, 835, 0.57904)
      (322, 849, 0.91058)
      (322, 852, 0.46288)
      (322, 853, 0.13085)
      (322, 867, 0.88410)
      (322, 882, 0.04244)
      (322, 898, 0.53667)
      (322, 941, 0.88849)
      (322, 942, 0.28851)
      (322, 981, 0.39729)
      (322, 985, 0.47870)
      (322, 995, 0.23963)
      (322, 996, 0.08844)
      (323, 15, 0.49009)
      (323, 16, 0.34762)
      (323, 19, 0.75407)
      (323, 36, 0.22889)
      (323, 42, 0.26226)
      (323, 46, 0.01840)
      (323, 64, 0.60900)
      (323, 68, 0.78097)
      (323, 72, 0.76110)
      (323, 76, 0.16215)
      (323, 98, 0.55632)
      (323, 108, 0.27394)
      (323, 117, 0.05520)
      (323, 120, 0.33526)
      (323, 149, 0.36918)
      (323, 176, 0.44030)
      (323, 177, 0.10462)
      (323, 178, 0.91343)
      (323, 199, 0.31302)
      (323, 208, 0.74127)
      (323, 232, 0.73568)
      (323, 245, 0.09427)
      (323, 247, 0.23761)
      (323, 250, 0.37191)
      (323, 266, 0.23031)
      (323, 303, 0.64943)
      (323, 336, 0.25727)
      (323, 377, 0.53403)
      (323, 388, 0.91630)
      (323, 397, 0.12041)
      (323, 408, 0.17685)
      (323, 414, 0.53562)
      (323, 422, 0.86843)
      (323, 447, 0.85182)
      (323, 450, 0.98455)
      (323, 457, 0.34807)
      (323, 476, 0.04053)
      (323, 505, 0.59755)
      (323, 512, 0.35694)
      (323, 518, 0.69760)
      (323, 538, 0.05636)
      (323, 544, 0.84362)
      (323, 550, 0.56044)
      (323, 557, 0.15302)
      (323, 563, 0.99245)
      (323, 568, 0.08708)
      (323, 584, 0.03119)
      (323, 596, 0.10510)
      (323, 626, 0.85938)
      (323, 670, 0.15428)
      (323, 679, 0.10161)
      (323, 681, 0.07625)
      (323, 683, 0.38514)
      (323, 737, 0.06064)
      (323, 740, 0.54965)
      (323, 745, 0.28260)
      (323, 749, 0.27092)
      (323, 783, 0.06518)
      (323, 788, 0.46353)
      (323, 813, 0.16757)
      (323, 840, 0.20416)
      (323, 892, 0.58376)
      (323, 893, 0.96018)
      (323, 895, 0.56563)
      (323, 905, 0.66487)
      (323, 920, 0.12063)
      (323, 922, 0.43995)
      (323, 923, 0.00019)
      (323, 967, 0.50635)
      (323, 970, 0.15293)
      (323, 973, 0.13360)
      (323, 976, 0.03739)
      (324, 10, 0.68252)
      (324, 13, 0.33748)
      (324, 69, 0.10186)
      (324, 96, 0.02472)
      (324, 115, 0.50066)
      (324, 116, 0.08900)
      (324, 132, 0.40789)
      (324, 159, 0.89252)
      (324, 172, 0.01265)
      (324, 242, 0.36374)
      (324, 277, 0.19141)
      (324, 318, 0.12204)
      (324, 336, 0.81624)
      (324, 338, 0.40964)
      (324, 365, 0.42726)
      (324, 372, 0.15567)
      (324, 374, 0.30757)
      (324, 387, 0.81249)
      (324, 390, 0.50276)
      (324, 396, 0.37894)
      (324, 402, 0.85941)
      (324, 429, 0.71688)
      (324, 494, 0.59987)
      (324, 529, 0.13530)
      (324, 535, 0.55037)
      (324, 538, 0.03975)
      (324, 544, 0.21143)
      (324, 585, 0.56946)
      (324, 593, 0.03297)
      (324, 613, 0.80577)
      (324, 617, 0.99862)
      (324, 637, 0.04527)
      (324, 645, 0.56598)
      (324, 667, 0.60791)
      (324, 695, 0.86396)
      (324, 707, 0.29566)
      (324, 741, 0.57074)
      (324, 754, 0.89864)
      (324, 759, 0.61974)
      (324, 774, 0.52004)
      (324, 790, 0.28976)
      (324, 809, 0.62720)
      (324, 823, 0.18611)
      (324, 834, 0.29567)
      (324, 866, 0.92517)
      (324, 890, 0.39669)
      (324, 895, 0.05864)
      (324, 922, 0.85829)
      (324, 936, 0.07372)
      (324, 950, 0.68661)
      (324, 982, 0.14811)
      (325, 11, 0.00978)
      (325, 22, 0.06674)
      (325, 23, 0.81280)
      (325, 29, 0.47075)
      (325, 67, 0.63700)
      (325, 81, 0.96734)
      (325, 92, 0.20008)
      (325, 97, 0.80345)
      (325, 120, 0.45741)
      (325, 124, 0.03125)
      (325, 174, 0.65108)
      (325, 175, 0.19768)
      (325, 187, 0.08382)
      (325, 204, 0.85433)
      (325, 207, 0.92180)
      (325, 208, 0.38377)
      (325, 272, 0.16589)
      (325, 284, 0.57149)
      (325, 297, 0.55569)
      (325, 298, 0.96207)
      (325, 318, 0.10411)
      (325, 341, 0.76150)
      (325, 345, 0.18465)
      (325, 352, 0.30421)
      (325, 371, 0.31979)
      (325, 420, 0.09055)
      (325, 481, 0.34140)
      (325, 489, 0.22534)
      (325, 496, 0.00605)
      (325, 504, 0.26047)
      (325, 510, 0.11760)
      (325, 521, 0.80087)
      (325, 527, 0.16372)
      (325, 557, 0.68260)
      (325, 584, 0.16410)
      (325, 590, 0.91338)
      (325, 619, 0.19025)
      (325, 638, 0.61039)
      (325, 658, 0.18823)
      (325, 670, 0.21909)
      (325, 689, 0.89075)
      (325, 710, 0.56865)
      (325, 726, 0.84284)
      (325, 744, 0.13227)
      (325, 746, 0.96087)
      (325, 754, 0.41015)
      (325, 811, 0.87749)
      (325, 822, 0.15772)
      (325, 825, 0.56310)
      (325, 829, 0.55891)
      (325, 839, 0.56354)
      (325, 853, 0.57948)
      (325, 907, 0.94434)
      (325, 909, 0.70514)
      (325, 918, 0.22115)
      (325, 954, 0.33996)
      (326,  5, 0.69406)
      (326, 10, 0.79790)
      (326, 15, 0.71042)
      (326, 18, 0.27689)
      (326, 31, 0.04365)
      (326, 39, 0.51462)
      (326, 54, 0.74913)
      (326, 79, 0.17418)
      (326, 95, 0.29710)
      (326, 131, 0.02901)
      (326, 135, 0.04414)
      (326, 139, 0.05861)
      (326, 147, 0.36499)
      (326, 169, 0.77165)
      (326, 180, 0.41003)
      (326, 202, 0.08855)
      (326, 203, 0.05771)
      (326, 218, 0.37960)
      (326, 222, 0.65995)
      (326, 224, 0.03112)
      (326, 231, 0.56808)
      (326, 232, 0.81952)
      (326, 233, 0.06278)
      (326, 267, 0.59555)
      (326, 300, 0.18859)
      (326, 301, 0.42121)
      (326, 317, 0.98705)
      (326, 350, 0.27177)
      (326, 363, 0.33069)
      (326, 425, 0.08914)
      (326, 444, 0.99505)
      (326, 456, 0.90034)
      (326, 487, 0.10628)
      (326, 502, 0.13899)
      (326, 515, 0.04747)
      (326, 538, 0.92663)
      (326, 579, 0.14667)
      (326, 606, 0.38483)
      (326, 652, 0.63504)
      (326, 674, 0.22656)
      (326, 689, 0.04908)
      (326, 732, 0.38118)
      (326, 748, 0.22828)
      (326, 751, 0.27436)
      (326, 757, 0.19275)
      (326, 768, 0.03601)
      (326, 776, 0.12759)
      (326, 784, 0.11865)
      (326, 850, 0.15919)
      (326, 880, 0.32621)
      (326, 922, 0.58539)
      (326, 939, 0.16453)
      (326, 945, 0.24884)
      (327, 18, 0.16822)
      (327, 24, 0.61238)
      (327, 28, 0.44436)
      (327, 71, 0.33228)
      (327, 88, 0.40279)
      (327, 145, 0.73073)
      (327, 217, 0.12333)
      (327, 225, 0.32362)
      (327, 238, 0.92244)
      (327, 258, 0.52820)
      (327, 268, 0.35633)
      (327, 293, 0.04896)
      (327, 295, 0.73789)
      (327, 343, 0.56361)
      (327, 348, 0.82623)
      (327, 350, 0.44145)
      (327, 352, 0.73506)
      (327, 359, 0.82465)
      (327, 363, 0.98854)
      (327, 401, 0.44982)
      (327, 402, 0.28117)
      (327, 416, 0.73510)
      (327, 476, 0.60725)
      (327, 479, 0.73284)
      (327, 506, 0.09873)
      (327, 516, 0.00067)
      (327, 526, 0.58346)
      (327, 535, 0.11781)
      (327, 538, 0.56173)
      (327, 576, 0.27388)
      (327, 582, 0.96522)
      (327, 590, 0.29564)
      (327, 605, 0.98358)
      (327, 640, 0.34891)
      (327, 663, 0.84198)
      (327, 681, 0.41411)
      (327, 696, 0.98631)
      (327, 714, 0.28765)
      (327, 722, 0.80677)
      (327, 751, 0.15436)
      (327, 829, 0.38458)
      (327, 833, 0.93595)
      (327, 840, 0.33852)
      (327, 858, 0.29176)
      (327, 864, 0.51951)
      (327, 867, 0.43070)
      (327, 873, 0.81162)
      (327, 915, 0.72480)
      (327, 960, 0.47541)
      (327, 965, 0.52648)
      (327, 985, 0.15736)
      (328, 10, 0.60750)
      (328, 22, 0.00873)
      (328, 25, 0.58984)
      (328, 47, 0.45862)
      (328, 57, 0.46688)
      (328, 70, 0.66191)
      (328, 72, 0.71337)
      (328, 74, 0.99067)
      (328, 86, 0.15851)
      (328, 100, 0.72676)
      (328, 103, 0.93756)
      (328, 105, 0.98994)
      (328, 109, 0.34800)
      (328, 124, 0.52016)
      (328, 152, 0.65236)
      (328, 240, 0.47599)
      (328, 286, 0.83545)
      (328, 300, 0.60573)
      (328, 316, 0.61303)
      (328, 317, 0.69034)
      (328, 343, 0.18349)
      (328, 433, 0.20687)
      (328, 446, 0.08663)
      (328, 455, 0.04414)
      (328, 463, 0.87002)
      (328, 478, 0.04915)
      (328, 502, 0.23455)
      (328, 507, 0.79901)
      (328, 525, 0.97696)
      (328, 535, 0.57718)
      (328, 544, 0.25224)
      (328, 584, 0.00786)
      (328, 601, 0.77379)
      (328, 654, 0.63833)
      (328, 663, 0.94447)
      (328, 669, 0.67122)
      (328, 670, 0.35441)
      (328, 676, 0.14395)
      (328, 715, 0.57405)
      (328, 717, 0.83115)
      (328, 768, 0.00889)
      (328, 783, 0.57980)
      (328, 791, 0.49312)
      (328, 797, 0.75471)
      (328, 808, 0.76662)
      (328, 820, 0.72022)
      (328, 821, 0.59077)
      (328, 825, 0.54630)
      (328, 834, 0.98200)
      (328, 869, 0.00407)
      (328, 879, 0.46052)
      (329, 11, 0.70770)
      (329, 37, 0.62088)
      (329, 68, 0.35473)
      (329, 72, 0.69631)
      (329, 75, 0.13531)
      (329, 86, 0.81161)
      (329, 121, 0.85046)
      (329, 127, 0.10374)
      (329, 132, 0.91118)
      (329, 146, 0.23633)
      (329, 195, 0.23925)
      (329, 217, 0.89184)
      (329, 224, 0.30700)
      (329, 252, 0.54460)
      (329, 260, 0.78801)
      (329, 264, 0.38312)
      (329, 298, 0.77639)
      (329, 300, 0.39956)
      (329, 340, 0.15044)
      (329, 357, 0.88223)
      (329, 361, 0.07303)
      (329, 382, 0.79091)
      (329, 431, 0.90252)
      (329, 445, 0.64396)
      (329, 457, 0.25173)
      (329, 466, 0.59273)
      (329, 477, 0.29489)
      (329, 499, 0.89357)
      (329, 513, 0.65425)
      (329, 527, 0.52333)
      (329, 541, 0.70294)
      (329, 544, 0.44580)
      (329, 580, 0.10670)
      (329, 581, 0.52161)
      (329, 586, 0.35930)
      (329, 610, 0.52003)
      (329, 657, 0.72475)
      (329, 686, 0.51202)
      (329, 687, 0.19296)
      (329, 703, 0.90978)
      (329, 748, 0.60476)
      (329, 766, 0.50994)
      (329, 778, 0.17247)
      (329, 789, 0.80700)
      (329, 817, 0.27518)
      (329, 831, 0.07240)
      (329, 844, 0.20006)
      (329, 851, 0.26314)
      (329, 885, 0.98833)
      (329, 900, 0.89933)
      (329, 959, 0.59321)
      (329, 987, 0.95134)
      (330, 14, 0.05165)
      (330, 19, 0.54166)
      (330, 35, 0.00380)
      (330, 80, 0.44388)
      (330, 83, 0.92903)
      (330, 87, 0.09905)
      (330, 92, 0.24063)
      (330, 93, 0.07701)
      (330, 109, 0.78777)
      (330, 116, 0.93403)
      (330, 163, 0.71467)
      (330, 177, 0.53458)
      (330, 184, 0.37063)
      (330, 202, 0.04790)
      (330, 206, 0.49714)
      (330, 218, 0.87423)
      (330, 235, 0.17479)
      (330, 256, 0.36155)
      (330, 260, 0.50966)
      (330, 263, 0.66293)
      (330, 281, 0.01780)
      (330, 302, 0.60388)
      (330, 342, 0.26777)
      (330, 353, 0.13274)
      (330, 357, 0.49448)
      (330, 369, 0.75264)
      (330, 387, 0.21860)
      (330, 390, 0.97624)
      (330, 394, 0.58700)
      (330, 408, 0.05999)
      (330, 450, 0.64879)
      (330, 468, 0.87355)
      (330, 497, 0.11413)
      (330, 500, 0.30419)
      (330, 506, 0.93349)
      (330, 507, 0.79055)
      (330, 565, 0.14800)
      (330, 572, 0.55370)
      (330, 584, 0.10294)
      (330, 615, 0.95841)
      (330, 635, 0.20957)
      (330, 665, 0.81387)
      (330, 678, 0.34618)
      (330, 682, 0.40285)
      (330, 687, 0.21942)
      (330, 702, 0.51348)
      (330, 704, 0.27481)
      (330, 722, 0.61298)
      (330, 729, 0.88339)
      (330, 737, 0.16646)
      (330, 739, 0.58351)
      (330, 771, 0.37769)
      (330, 778, 0.27443)
      (330, 785, 0.21348)
      (330, 804, 0.88090)
      (330, 830, 0.32383)
      (330, 839, 0.92904)
      (330, 882, 0.12053)
      (330, 911, 0.80979)
      (330, 913, 0.89679)
      (330, 915, 0.15839)
      (330, 923, 0.06656)
      (330, 933, 0.22142)
      (330, 935, 0.50293)
      (330, 954, 0.86372)
      (330, 963, 0.97903)
      (330, 969, 0.23862)
      (330, 975, 0.53164)
      (331, 35, 0.70253)
      (331, 37, 0.73170)
      (331, 49, 0.43302)
      (331, 64, 0.96674)
      (331, 87, 0.59305)
      (331, 115, 0.93761)
      (331, 128, 0.71256)
      (331, 145, 0.54022)
      (331, 149, 0.51950)
      (331, 165, 0.72237)
      (331, 178, 0.11538)
      (331, 261, 0.43109)
      (331, 278, 0.09736)
      (331, 292, 0.56709)
      (331, 300, 0.02991)
      (331, 314, 0.13897)
      (331, 321, 0.88110)
      (331, 324, 0.41798)
      (331, 342, 0.02744)
      (331, 350, 0.00277)
      (331, 353, 0.04499)
      (331, 363, 0.16111)
      (331, 381, 0.06440)
      (331, 387, 0.45806)
      (331, 390, 0.27362)
      (331, 400, 0.87237)
      (331, 415, 0.60550)
      (331, 425, 0.83108)
      (331, 474, 0.08426)
      (331, 479, 0.62205)
      (331, 485, 0.54128)
      (331, 492, 0.46307)
      (331, 567, 0.54308)
      (331, 569, 0.33086)
      (331, 600, 0.73186)
      (331, 632, 0.07744)
      (331, 705, 0.26902)
      (331, 706, 0.63556)
      (331, 714, 0.53656)
      (331, 758, 0.25089)
      (331, 786, 0.72229)
      (331, 795, 0.37232)
      (331, 797, 0.67960)
      (331, 798, 0.03139)
      (331, 834, 0.47402)
      (331, 836, 0.61502)
      (331, 847, 0.60218)
      (331, 854, 0.43446)
      (331, 868, 0.56508)
      (331, 916, 0.22856)
      (331, 933, 0.07005)
      (331, 935, 0.17752)
      (331, 944, 0.09345)
      (331, 946, 0.24230)
      (331, 954, 0.63976)
      (331, 959, 0.06194)
      (331, 977, 0.40847)
      (331, 986, 0.40321)
      (332, 15, 0.08511)
      (332, 35, 0.81322)
      (332, 37, 0.12798)
      (332, 41, 0.81626)
      (332, 45, 0.36295)
      (332, 80, 0.39077)
      (332, 87, 0.47320)
      (332, 121, 0.86851)
      (332, 122, 0.88500)
      (332, 141, 0.24649)
      (332, 151, 0.83649)
      (332, 161, 0.12949)
      (332, 177, 0.53193)
      (332, 185, 0.01996)
      (332, 188, 0.58132)
      (332, 204, 0.47621)
      (332, 211, 0.74928)
      (332, 216, 0.29256)
      (332, 244, 0.91038)
      (332, 255, 0.45851)
      (332, 265, 0.75825)
      (332, 269, 0.07636)
      (332, 274, 0.79839)
      (332, 283, 0.14673)
      (332, 285, 0.03273)
      (332, 307, 0.16017)
      (332, 328, 0.76100)
      (332, 360, 0.50759)
      (332, 362, 0.69732)
      (332, 402, 0.87225)
      (332, 404, 0.51524)
      (332, 444, 0.54622)
      (332, 465, 0.35193)
      (332, 470, 0.95367)
      (332, 500, 0.21050)
