1 directed weighted graphs; all are reachable from vertex 0.

** G1: |V| = 2000
(u, v) E = { 
      (181, 464, 0.35310)
      (181, 627, 0.54417)
      (181, 691, 0.86215)
      (181, 728, 0.73498)
      (181, 786, 0.00615)
      (181, 937, 0.49169)
      (181, 950, 0.79342)
      (181, 991, 0.87317)
      (181, 1158, 0.96255)
      (181, 1260, 0.32164)
      (181, 1299, 0.02233)
      (181, 1301, 0.57684)
      (181, 1386, 0.47008)
      (181, 1455, 0.86485)
      (181, 1469, 0.27291)
      (181, 1586, 0.16026)
      (181, 1655, 0.11239)
      (181, 1660, 0.79111)
      (181, 1820, 0.84758)
      (181, 1877, 0.18110)
      (181, 1913, 0.08178)
      (182, 10, 0.44874)
      (182, 30, 0.36719)
      (182, 32, 0.50028)
      (182, 551, 0.41029)
      (182, 552, 0.02721)
      (182, 565, 0.86853)
      (182, 607, 0.23436)
      (182, 608, 0.19874)
      (182, 665, 0.42978)
      (182, 959, 0.54623)
      (182, 970, 0.93694)
      (182, 1099, 0.10048)
      (182, 1250, 0.41306)
      (182, 1443, 0.01213)
      (182, 1644, 0.77071)
      (182, 1822, 0.11719)
      (182, 1937, 0.86364)
      (182, 1964, 0.09675)
      (183, 298, 0.50694)
      (183, 349, 0.82959)
      (183, 647, 0.37752)
      (183, 685, 0.37685)
      (183, 771, 0.22823)
      (183, 791, 0.86023)
      (183, 826, 0.73295)
      (183, 877, 0.83661)
      (183, 1135, 0.69308)
      (183, 1231, 0.82177)
      (183, 1360, 0.06857)
      (183, 1538, 0.16582)
      (183, 1735, 0.27791)
      (183, 1948, 0.59466)
      (184, 104, 0.26741)
      (184, 206, 0.84559)
      (184, 420, 0.15798)
      (184, 653, 0.96323)
      (184, 1086, 0.60960)
      (184, 1157, 0.44304)
      (184, 1249, 0.20850)
      (184, 1329, 0.69462)
      (184, 1430, 0.72371)
      (184, 1446, 0.62205)
      (184, 1493, 0.14813)
      (184, 1528, 0.01286)
      (184, 1735, 0.28194)
      (185,  2, 0.41123)
      (185, 123, 0.53930)
      (185, 135, 0.72476)
      (185, 193, 0.09845)
      (185, 200, 0.90323)
      (185, 449, 0.79182)
      (185, 465, 0.17406)
      (185, 548, 0.58219)
      (185, 567, 0.01222)
      (185, 581, 0.96359)
      (185, 739, 0.32127)
      (185, 818, 0.74615)
      (185, 841, 0.85264)
      (185, 961, 0.23343)
      (185, 1308, 0.69129)
      (185, 1334, 0.89665)
      (185, 1370, 0.14424)
      (185, 1478, 0.28852)
      (185, 1622, 0.01025)
      (185, 1888, 0.59748)
      (186, 85, 0.99773)
      (186, 216, 0.36598)
      (186, 218, 0.34993)
      (186, 455, 0.80306)
      (186, 539, 0.76811)
      (186, 795, 0.28790)
      (186, 813, 0.84060)
      (186, 831, 0.24181)
      (186, 850, 0.66741)
      (186, 857, 0.75224)
      (186, 951, 0.67044)
      (186, 1127, 0.74537)
      (186, 1402, 0.12666)
      (186, 1433, 0.40530)
      (186, 1515, 0.82697)
      (186, 1520, 0.54453)
      (186, 1536, 0.06448)
      (186, 1678, 0.73899)
      (186, 1710, 0.03496)
      (186, 1789, 0.99884)
      (186, 1791, 0.65175)
      (186, 1894, 0.88424)
      (187, 82, 0.46904)
      (187, 106, 0.30957)
      (187, 259, 0.00426)
      (187, 585, 0.53206)
      (187, 691, 0.34106)
      (187, 723, 0.21741)
      (187, 753, 0.89048)
      (187, 1133, 0.68331)
      (187, 1159, 0.21198)
      (187, 1367, 0.46965)
      (187, 1378, 0.20662)
      (187, 1461, 0.39816)
      (187, 1491, 0.41954)
      (187, 1504, 0.48127)
      (187, 1515, 0.00321)
      (187, 1538, 0.80713)
      (187, 1570, 0.89102)
      (187, 1671, 0.96002)
      (187, 1868, 0.60360)
      (187, 1895, 0.46333)
      (188, 45, 0.36544)
      (188, 262, 0.14868)
      (188, 263, 0.10121)
      (188, 314, 0.08858)
      (188, 343, 0.42723)
      (188, 456, 0.92958)
      (188, 481, 0.19555)
      (188, 522, 0.67902)
      (188, 527, 0.83108)
      (188, 620, 0.44647)
      (188, 644, 0.74741)
      (188, 661, 0.53394)
      (188, 784, 0.99737)
      (188, 1138, 0.96406)
      (188, 1156, 0.84761)
      (188, 1169, 0.90509)
      (188, 1373, 0.01577)
      (188, 1411, 0.47474)
      (188, 1431, 0.35138)
      (188, 1590, 0.58586)
      (188, 1680, 0.39130)
      (188, 1699, 0.80618)
      (188, 1858, 0.61851)
      (189, 62, 0.27540)
      (189, 197, 0.61389)
      (189, 219, 0.67601)
      (189, 265, 0.13540)
      (189, 443, 0.82121)
      (189, 488, 0.69034)
      (189, 523, 0.79870)
      (189, 665, 0.22676)
      (189, 697, 0.86254)
      (189, 1018, 0.10591)
      (189, 1022, 0.00889)
      (189, 1154, 0.60129)
      (189, 1161, 0.44065)
      (189, 1242, 0.10427)
      (189, 1278, 0.17044)
      (189, 1451, 0.06065)
      (189, 1470, 0.64928)
      (189, 1481, 0.21612)
      (189, 1772, 0.67197)
      (189, 1827, 0.09514)
      (189, 1924, 0.38457)
      (189, 1984, 0.23292)
      (190, 165, 0.98535)
      (190, 240, 0.88898)
      (190, 308, 0.29985)
      (190, 474, 0.42781)
      (190, 804, 0.94566)
      (190, 839, 0.38787)
      (190, 840, 0.84912)
      (190, 904, 0.34932)
      (190, 1091, 0.67763)
      (190, 1214, 0.44409)
      (190, 1241, 0.46396)
      (190, 1243, 0.52565)
      (190, 1284, 0.07677)
      (190, 1383, 0.35037)
      (190, 1486, 0.95758)
      (190, 1704, 0.01079)
      (190, 1755, 0.68313)
      (190, 1778, 0.61857)
      (190, 1783, 0.49778)
      (190, 1977, 0.60287)
      (191, 90, 0.77764)
      (191, 175, 0.19692)
      (191, 310, 0.22323)
      (191, 340, 0.23697)
      (191, 387, 0.46760)
      (191, 424, 0.28569)
      (191, 543, 0.28230)
      (191, 580, 0.61365)
      (191, 587, 0.15632)
      (191, 674, 0.81239)
      (191, 1025, 0.69422)
      (191, 1161, 0.07744)
      (191, 1170, 0.84326)
      (191, 1254, 0.66390)
      (191, 1281, 0.97450)
      (191, 1503, 0.00291)
      (191, 1582, 0.63103)
      (191, 1606, 0.82352)
      (191, 1684, 0.85214)
      (192, 313, 0.69444)
      (192, 389, 0.69044)
      (192, 501, 0.40221)
      (192, 565, 0.69717)
      (192, 668, 0.17623)
      (192, 774, 0.94902)
      (192, 842, 0.81277)
      (192, 893, 0.15759)
      (192, 932, 0.56571)
      (192, 1045, 0.41258)
      (192, 1047, 0.42065)
      (192, 1085, 0.91383)
      (192, 1098, 0.33504)
      (192, 1123, 0.32774)
      (192, 1151, 0.11384)
      (192, 1343, 0.39657)
      (192, 1366, 0.73839)
      (192, 1419, 0.97716)
      (192, 1939, 0.05532)
      (193, 37, 0.23937)
      (193, 40, 0.54843)
      (193, 258, 0.63599)
      (193, 408, 0.88363)
      (193, 487, 0.16253)
      (193, 506, 0.34728)
      (193, 526, 0.97886)
      (193, 851, 0.10763)
      (193, 1003, 0.87427)
      (193, 1040, 0.43165)
      (193, 1116, 0.00146)
      (193, 1244, 0.70602)
      (193, 1256, 0.72151)
      (193, 1387, 0.63049)
      (193, 1409, 0.50645)
      (193, 1626, 0.87734)
      (193, 1634, 0.32025)
      (193, 1790, 0.22711)
      (193, 1815, 0.39125)
      (193, 1859, 0.28054)
      (193, 1896, 0.05132)
      (193, 1946, 0.69999)
      (193, 1971, 0.25281)
      (194, 100, 0.95215)
      (194, 401, 0.37799)
      (194, 437, 0.09424)
      (194, 571, 0.22427)
      (194, 604, 0.38141)
      (194, 748, 0.47573)
      (194, 1028, 0.82544)
      (194, 1029, 0.83451)
      (194, 1244, 0.90191)
      (194, 1572, 0.55523)
      (194, 1618, 0.90534)
      (194, 1623, 0.43053)
      (194, 1671, 0.09107)
      (194, 1797, 0.50532)
      (194, 1823, 0.06891)
      (194, 1887, 0.57672)
      (194, 1967, 0.62367)
      (194, 1989, 0.98577)
      (194, 1990, 0.64347)
      (194, 1997, 0.44669)
      (195, 121, 0.67023)
      (195, 198, 0.98036)
      (195, 203, 0.33460)
      (195, 274, 0.24888)
      (195, 462, 0.27520)
      (195, 477, 0.48577)
      (195, 495, 0.56375)
      (195, 578, 0.89233)
      (195, 597, 0.66897)
      (195, 732, 0.80425)
      (195, 908, 0.07688)
      (195, 938, 0.47989)
      (195, 947, 0.58634)
      (195, 1021, 0.94935)
      (195, 1040, 0.08830)
      (195, 1258, 0.41547)
      (195, 1360, 0.38289)
      (195, 1499, 0.14567)
      (195, 1505, 0.87091)
      (195, 1577, 0.01399)
      (195, 1587, 0.64892)
      (195, 1890, 0.64045)
      (195, 1976, 0.87432)
      (196, 208, 0.12540)
      (196, 352, 0.64980)
      (196, 503, 0.36441)
      (196, 544, 0.41327)
      (196, 545, 0.11146)
      (196, 565, 0.55544)
      (196, 603, 0.32510)
      (196, 644, 0.35297)
      (196, 700, 0.88164)
      (196, 713, 0.51927)
      (196, 828, 0.98738)
      (196, 867, 0.69454)
      (196, 1179, 0.09206)
      (196, 1209, 0.39470)
      (196, 1281, 0.71153)
      (196, 1412, 0.68565)
      (196, 1454, 0.30877)
      (196, 1472, 0.42151)
      (196, 1734, 0.50285)
      (196, 1773, 0.22095)
      (196, 1959, 0.02590)
      (197, 37, 0.66598)
      (197, 108, 0.97639)
      (197, 261, 0.34551)
      (197, 268, 0.26573)
      (197, 277, 0.92911)
      (197, 335, 0.98647)
      (197, 726, 0.73813)
      (197, 761, 0.75533)
      (197, 762, 0.86187)
      (197, 859, 0.05144)
      (197, 960, 0.20878)
      (197, 1039, 0.42573)
      (197, 1049, 0.94377)
      (197, 1083, 0.71009)
      (197, 1213, 0.49740)
      (197, 1240, 0.42603)
      (197, 1296, 0.93776)
      (197, 1426, 0.10123)
      (197, 1557, 0.83888)
      (197, 1821, 0.51190)
      (197, 1852, 0.62279)
      (198, 146, 0.67610)
      (198, 189, 0.29654)
      (198, 209, 0.90620)
      (198, 384, 0.24722)
      (198, 452, 0.86669)
      (198, 725, 0.75233)
      (198, 864, 0.20972)
      (198, 871, 0.93247)
      (198, 880, 0.86350)
      (198, 895, 0.33458)
      (198, 918, 0.33769)
      (198, 1052, 0.20743)
      (198, 1073, 0.93286)
      (198, 1201, 0.55375)
      (198, 1268, 0.72923)
      (198, 1307, 0.55556)
      (198, 1629, 0.88730)
      (198, 1806, 0.90212)
      (198, 1866, 0.53134)
      (198, 1904, 0.36772)
      (199, 100, 0.46812)
      (199, 110, 0.02664)
      (199, 315, 0.46856)
      (199, 433, 0.01515)
      (199, 506, 0.73898)
      (199, 508, 0.21809)
      (199, 739, 0.69492)
      (199, 764, 0.34145)
      (199, 830, 0.96983)
      (199, 900, 0.85508)
      (199, 957, 0.44095)
      (199, 1010, 0.15943)
      (199, 1019, 0.27886)
      (199, 1027, 0.76935)
      (199, 1845, 0.52324)
      (199, 1864, 0.37560)
      (199, 1906, 0.48774)
      (199, 1917, 0.92031)
      (199, 1923, 0.44464)
      (199, 1988, 0.18941)
      (200, 38, 0.30372)
      (200, 43, 0.04982)
      (200, 173, 0.16676)
      (200, 199, 0.24141)
      (200, 577, 0.64006)
      (200, 651, 0.85608)
      (200, 833, 0.28536)
      (200, 910, 0.84593)
      (200, 925, 0.69534)
      (200, 1003, 0.08654)
      (200, 1062, 0.38699)
      (200, 1133, 0.22767)
      (200, 1307, 0.49463)
      (200, 1443, 0.34756)
      (200, 1494, 0.76176)
      (200, 1514, 0.58792)
      (200, 1527, 0.74090)
      (200, 1580, 0.36890)
      (200, 1681, 0.56313)
      (200, 1697, 0.21887)
      (200, 1721, 0.33124)
      (200, 1745, 0.12555)
      (200, 1888, 0.88705)
      (200, 1958, 0.13817)
      (201, 33, 0.21472)
      (201, 84, 0.23631)
      (201, 144, 0.41947)
      (201, 218, 0.31089)
      (201, 313, 0.38254)
      (201, 323, 0.94052)
      (201, 460, 0.72958)
      (201, 520, 0.41791)
      (201, 561, 0.58687)
      (201, 641, 0.86859)
      (201, 692, 0.85628)
      (201, 715, 0.93656)
      (201, 735, 0.25673)
      (201, 755, 0.81649)
      (201, 767, 0.57345)
      (201, 816, 0.23861)
      (201, 870, 0.41419)
      (201, 879, 0.77943)
      (201, 1013, 0.90174)
      (201, 1137, 0.14308)
      (201, 1279, 0.58328)
      (201, 1349, 0.07828)
      (201, 1369, 0.51748)
      (201, 1787, 0.94142)
      (201, 1823, 0.52963)
      (201, 1838, 0.58304)
      (201, 1905, 0.60197)
      (201, 1906, 0.63637)
      (201, 1928, 0.72038)
      (201, 1941, 0.18660)
      (202, 123, 0.29603)
      (202, 133, 0.92800)
      (202, 207, 0.64993)
      (202, 218, 0.27804)
      (202, 225, 0.24036)
      (202, 333, 0.44660)
      (202, 654, 0.13086)
      (202, 1054, 0.37734)
      (202, 1091, 0.17121)
      (202, 1428, 0.12250)
      (202, 1557, 0.29664)
      (202, 1559, 0.76365)
      (202, 1694, 0.83884)
      (202, 1797, 0.84939)
      (202, 1821, 0.71408)
      (202, 1896, 0.49307)
      (203, 392, 0.45165)
      (203, 403, 0.32568)
      (203, 586, 0.47417)
      (203, 604, 0.00123)
      (203, 619, 0.21901)
      (203, 783, 0.46022)
      (203, 851, 0.04223)
      (203, 944, 0.99794)
      (203, 1021, 0.38146)
      (203, 1074, 0.69849)
      (203, 1119, 0.49929)
      (203, 1195, 0.03225)
      (203, 1423, 0.16120)
      (203, 1562, 0.79470)
      (203, 1713, 0.68087)
      (203, 1721, 0.21982)
      (203, 1870, 0.60291)
      (203, 1916, 0.59469)
      (203, 1986, 0.53081)
      (204, 28, 0.18359)
      (204, 35, 0.55798)
      (204, 245, 0.61308)
      (204, 248, 0.50560)
      (204, 297, 0.73664)
      (204, 430, 0.70373)
      (204, 541, 0.88498)
      (204, 652, 0.40688)
      (204, 739, 0.21319)
      (204, 784, 0.41890)
      (204, 870, 0.98128)
      (204, 1044, 0.16852)
      (204, 1134, 0.88147)
      (204, 1168, 0.46267)
      (204, 1217, 0.03042)
      (204, 1271, 0.48868)
      (204, 1331, 0.66550)
      (204, 1432, 0.39649)
      (204, 1793, 0.18064)
      (204, 1962, 0.18037)
      (205, 116, 0.24435)
      (205, 375, 0.55621)
      (205, 461, 0.42365)
      (205, 496, 0.48479)
      (205, 651, 0.41529)
      (205, 753, 0.53956)
      (205, 769, 0.27061)
      (205, 806, 0.26211)
      (205, 836, 0.03784)
      (205, 888, 0.54533)
      (205, 1371, 0.61898)
      (205, 1622, 0.93077)
      (205, 1749, 0.33812)
      (205, 1770, 0.15517)
      (205, 1881, 0.79390)
      (206, 50, 0.60370)
      (206, 86, 0.43658)
      (206, 143, 0.44991)
      (206, 159, 0.55113)
      (206, 213, 0.66612)
      (206, 215, 0.72105)
      (206, 282, 0.22509)
      (206, 311, 0.05888)
      (206, 408, 0.97787)
      (206, 487, 0.14817)
      (206, 541, 0.15005)
      (206, 593, 0.95453)
      (206, 613, 0.16339)
      (206, 642, 0.72338)
      (206, 645, 0.77675)
      (206, 772, 0.70433)
      (206, 795, 0.91636)
      (206, 917, 0.68808)
      (206, 1060, 0.54199)
      (206, 1068, 0.93362)
      (206, 1190, 0.63521)
      (206, 1372, 0.02865)
      (206, 1910, 0.38550)
      (206, 1936, 0.80808)
      (207, 298, 0.19421)
      (207, 563, 0.56268)
      (207, 584, 0.84117)
      (207, 624, 0.58313)
      (207, 859, 0.26424)
      (207, 942, 0.00202)
      (207, 1020, 0.40460)
      (207, 1045, 0.82279)
      (207, 1114, 0.23818)
      (207, 1167, 0.22856)
      (207, 1203, 0.58006)
      (207, 1337, 0.44863)
      (207, 1495, 0.93527)
      (207, 1521, 0.57305)
      (207, 1561, 0.55517)
      (207, 1662, 0.96972)
      (207, 1698, 0.55888)
      (207, 1738, 0.73991)
      (207, 1954, 0.27753)
      (207, 1987, 0.08367)
      (208, 119, 0.17416)
      (208, 217, 0.01241)
      (208, 390, 0.29917)
      (208, 410, 0.30448)
      (208, 516, 0.15773)
      (208, 551, 0.42900)
      (208, 673, 0.78586)
      (208, 737, 0.02301)
      (208, 951, 0.54931)
      (208, 1040, 0.95784)
      (208, 1092, 0.55064)
      (208, 1117, 0.45407)
      (208, 1132, 0.39833)
      (208, 1257, 0.02345)
      (208, 1438, 0.40378)
      (208, 1541, 0.44255)
      (208, 1558, 0.25069)
      (208, 1559, 0.79686)
      (208, 1579, 0.15238)
      (208, 1681, 0.96357)
      (208, 1759, 0.83689)
      (208, 1789, 0.39723)
      (208, 1893, 0.01950)
      (209, 71, 0.92058)
      (209, 274, 0.49006)
      (209, 290, 0.98624)
      (209, 400, 0.95386)
      (209, 408, 0.36667)
      (209, 654, 0.63736)
      (209, 729, 0.99880)
      (209, 879, 0.78872)
      (209, 1021, 0.14647)
      (209, 1027, 0.83788)
      (209, 1069, 0.47530)
      (209, 1359, 0.31438)
      (209, 1370, 0.38154)
      (209, 1474, 0.32526)
      (209, 1672, 0.13198)
      (209, 1674, 0.67466)
      (209, 1929, 0.63270)
      (209, 1993, 0.32342)
      (210, 19, 0.31503)
      (210, 38, 0.82569)
      (210, 230, 0.00600)
      (210, 319, 0.56106)
      (210, 433, 0.59488)
      (210, 451, 0.79117)
      (210, 534, 0.98485)
      (210, 576, 0.27961)
      (210, 596, 0.07664)
      (210, 656, 0.84310)
      (210, 833, 0.96646)
      (210, 1091, 0.25635)
      (210, 1379, 0.85437)
      (210, 1407, 0.70705)
      (210, 1432, 0.37216)
      (210, 1450, 0.20183)
      (210, 1490, 0.09184)
      (210, 1534, 0.77528)
      (210, 1568, 0.68081)
      (210, 1619, 0.70780)
      (210, 1722, 0.05255)
      (210, 1801, 0.19370)
      (210, 1879, 0.72498)
      (210, 1958, 0.46203)
      (210, 1992, 0.13273)
      (211, 128, 0.53952)
      (211, 203, 0.74491)
      (211, 463, 0.12879)
      (211, 644, 0.13599)
      (211, 649, 0.93271)
      (211, 721, 0.50802)
      (211, 731, 0.45769)
      (211, 737, 0.88975)
      (211, 755, 0.21909)
      (211, 800, 0.38991)
      (211, 870, 0.54586)
      (211, 903, 0.19487)
      (211, 1126, 0.92563)
      (211, 1130, 0.34424)
      (211, 1168, 0.40000)
      (211, 1226, 0.74562)
      (211, 1257, 0.82548)
      (211, 1494, 0.59771)
      (211, 1598, 0.80401)
      (211, 1792, 0.83265)
      (211, 1969, 0.28375)
      (212, 30, 0.91440)
      (212, 87, 0.20838)
      (212, 153, 0.11469)
      (212, 329, 0.79200)
      (212, 345, 0.84687)
      (212, 354, 0.00293)
      (212, 422, 0.17091)
      (212, 513, 0.73211)
      (212, 539, 0.94522)
      (212, 540, 0.67366)
      (212, 571, 0.92283)
      (212, 589, 0.54829)
      (212, 619, 0.42287)
      (212, 625, 0.90993)
      (212, 803, 0.25474)
      (212, 943, 0.43466)
      (212, 949, 0.98613)
      (212, 969, 0.16434)
      (212, 976, 0.29648)
      (212, 994, 0.43183)
      (212, 1090, 0.71283)
      (212, 1304, 0.03909)
      (212, 1358, 0.35718)
      (212, 1377, 0.97317)
      (212, 1550, 0.07383)
      (212, 1659, 0.40300)
      (212, 1728, 0.98268)
      (212, 1757, 0.45889)
      (212, 1767, 0.68001)
      (212, 1821, 0.75784)
      (213, 61, 0.10393)
      (213, 123, 0.70567)
      (213, 164, 0.74295)
      (213, 204, 0.93252)
      (213, 284, 0.98849)
      (213, 350, 0.59399)
      (213, 355, 0.34019)
      (213, 369, 0.48747)
      (213, 389, 0.54076)
      (213, 551, 0.68903)
      (213, 607, 0.08133)
      (213, 683, 0.45387)
      (213, 786, 0.07819)
      (213, 893, 0.31884)
      (213, 901, 0.91359)
      (213, 1048, 0.60741)
      (213, 1280, 0.05143)
      (213, 1299, 0.69139)
      (213, 1328, 0.28117)
      (213, 1591, 0.72318)
      (213, 1620, 0.35541)
      (213, 1997, 0.19775)
      (214, 82, 0.82946)
      (214, 298, 0.28417)
      (214, 418, 0.65479)
      (214, 1015, 0.45443)
      (214, 1044, 0.71431)
      (214, 1049, 0.61553)
      (214, 1244, 0.42606)
      (214, 1444, 0.51662)
      (214, 1488, 0.12054)
      (214, 1518, 0.84194)
      (214, 1579, 0.32939)
      (214, 1624, 0.42516)
      (214, 1699, 0.38286)
      (214, 1742, 0.97181)
      (215, 14, 0.82333)
      (215, 162, 0.18723)
      (215, 250, 0.87067)
      (215, 265, 0.07260)
      (215, 410, 0.51694)
      (215, 470, 0.55098)
      (215, 490, 0.57958)
      (215, 681, 0.20719)
      (215, 807, 0.96379)
      (215, 840, 0.80552)
      (215, 879, 0.12926)
      (215, 916, 0.95262)
      (215, 939, 0.91129)
      (215, 1099, 0.19436)
      (215, 1407, 0.76441)
      (215, 1600, 0.91426)
      (215, 1816, 0.61311)
      (215, 1835, 0.60449)
      (216, 132, 0.25645)
      (216, 156, 0.42361)
      (216, 206, 0.89853)
      (216, 311, 0.69052)
      (216, 332, 0.57267)
      (216, 350, 0.56040)
      (216, 401, 0.57307)
      (216, 460, 0.58283)
      (216, 469, 0.85660)
      (216, 628, 0.85876)
      (216, 661, 0.96536)
      (216, 682, 0.69325)
      (216, 943, 0.42017)
      (216, 1082, 0.64765)
      (216, 1107, 0.00466)
      (216, 1438, 0.37613)
      (216, 1455, 0.62551)
      (216, 1524, 0.08895)
      (216, 1546, 0.80740)
      (216, 1646, 0.44982)
      (216, 1858, 0.11808)
      (216, 1875, 0.05363)
      (216, 1929, 0.47797)
      (216, 1951, 0.61538)
      (216, 1962, 0.51098)
      (217, 557, 0.97955)
      (217, 644, 0.18330)
      (217, 774, 0.09115)
      (217, 867, 0.10285)
      (217, 1050, 0.07194)
      (217, 1279, 0.93800)
      (217, 1281, 0.34747)
      (217, 1311, 0.18575)
      (217, 1386, 0.69279)
      (217, 1898, 0.37768)
      (218, 301, 0.35753)
      (218, 391, 0.52556)
      (218, 424, 0.52132)
      (218, 533, 0.97702)
      (218, 557, 0.03678)
      (218, 635, 0.27200)
      (218, 661, 0.68472)
      (218, 751, 0.86659)
      (218, 996, 0.02326)
      (218, 1454, 0.85826)
      (218, 1503, 0.04277)
      (218, 1704, 0.32101)
      (218, 1750, 0.65219)
      (218, 1814, 0.42650)
      (218, 1986, 0.72082)
      (219, 16, 0.86740)
      (219, 61, 0.25452)
      (219, 169, 0.41925)
      (219, 262, 0.89480)
      (219, 303, 0.17568)
      (219, 336, 0.38594)
      (219, 355, 0.60774)
      (219, 516, 0.14404)
      (219, 595, 0.88740)
      (219, 681, 0.48823)
      (219, 804, 0.55022)
      (219, 1152, 0.35094)
      (219, 1178, 0.01320)
      (219, 1279, 0.56263)
      (219, 1855, 0.90722)
      (219, 1930, 0.79971)
      (219, 1962, 0.45897)
      (220, 113, 0.97291)
      (220, 292, 0.05997)
      (220, 429, 0.74934)
      (220, 430, 0.81766)
      (220, 657, 0.74710)
      (220, 751, 0.62144)
      (220, 777, 0.82161)
      (220, 915, 0.13557)
      (220, 1046, 0.11316)
      (220, 1070, 0.28248)
      (220, 1185, 0.70073)
      (220, 1226, 0.36747)
      (220, 1267, 0.04289)
      (220, 1547, 0.41525)
      (220, 1606, 0.08012)
      (220, 1626, 0.74617)
      (220, 1651, 0.92087)
      (220, 1783, 0.30896)
      (220, 1806, 0.88466)
      (220, 1894, 0.64991)
      (220, 1974, 0.43539)
      (221, 43, 0.67263)
      (221, 163, 0.88059)
      (221, 436, 0.59182)
      (221, 450, 0.06448)
      (221, 762, 0.07144)
      (221, 779, 0.16864)
      (221, 821, 0.36075)
      (221, 1015, 0.07304)
      (221, 1066, 0.69555)
      (221, 1205, 0.68928)
      (221, 1271, 0.62237)
      (221, 1316, 0.39167)
      (221, 1368, 0.78554)
      (221, 1510, 0.45834)
      (221, 1754, 0.55072)
      (221, 1771, 0.82676)
      (221, 1772, 0.04126)
      (221, 1810, 0.45672)
      (221, 1936, 0.10251)
      (221, 1970, 0.00699)
      (222, 63, 0.86723)
      (222, 324, 0.92436)
      (222, 532, 0.77830)
      (222, 620, 0.12070)
      (222, 850, 0.07680)
      (222, 1105, 0.17054)
      (222, 1127, 0.01759)
      (222, 1159, 0.35856)
      (222, 1483, 0.98134)
      (222, 1487, 0.30765)
      (222, 1527, 0.35516)
      (222, 1649, 0.06650)
      (222, 1827, 0.42060)
      (222, 1906, 0.78165)
      (223, 68, 0.89383)
      (223, 166, 0.65413)
      (223, 295, 0.30909)
      (223, 311, 0.51573)
      (223, 337, 0.67499)
      (223, 345, 0.54534)
      (223, 503, 0.95808)
      (223, 611, 0.80705)
      (223, 735, 0.68273)
      (223, 802, 0.28948)
      (223, 910, 0.51320)
      (223, 947, 0.69167)
      (223, 1127, 0.13575)
      (223, 1223, 0.40290)
      (223, 1226, 0.18611)
      (223, 1237, 0.72564)
      (223, 1394, 0.95774)
      (223, 1404, 0.68434)
      (223, 1418, 0.42146)
      (223, 1536, 0.66547)
      (223, 1629, 0.12439)
      (223, 1686, 0.24446)
      (223, 1714, 0.71069)
      (223, 1779, 0.88212)
      (224,  3, 0.34617)
      (224, 102, 0.60009)
      (224, 170, 0.18206)
      (224, 199, 0.10194)
      (224, 629, 0.13746)
      (224, 802, 0.65892)
      (224, 854, 0.68980)
      (224, 866, 0.83952)
      (224, 1037, 0.00627)
      (224, 1089, 0.57589)
      (224, 1175, 0.70585)
      (224, 1268, 0.48136)
      (224, 1310, 0.32700)
      (224, 1343, 0.89999)
      (224, 1345, 0.75403)
      (224, 1398, 0.47204)
      (224, 1891, 0.62345)
      (224, 1963, 0.79972)
      (224, 1975, 0.87260)
      (224, 1978, 0.55763)
      (225, 116, 0.84033)
      (225, 349, 0.73389)
      (225, 619, 0.05546)
      (225, 658, 0.91882)
      (225, 733, 0.49655)
      (225, 874, 0.88779)
      (225, 1077, 0.62138)
      (225, 1115, 0.70859)
      (225, 1240, 0.86647)
      (225, 1273, 0.40947)
      (225, 1311, 0.02568)
      (225, 1338, 0.62402)
      (225, 1342, 0.17532)
      (225, 1347, 0.78581)
      (225, 1406, 0.76489)
      (225, 1414, 0.77688)
      (225, 1420, 0.12057)
      (225, 1463, 0.31772)
      (225, 1645, 0.54380)
      (225, 1764, 0.59226)
      (225, 1903, 0.99711)
      (225, 1962, 0.17692)
      (225, 1970, 0.80751)
      (226, 90, 0.00986)
      (226, 205, 0.79286)
      (226, 253, 0.29829)
      (226, 293, 0.72821)
      (226, 318, 0.09104)
      (226, 585, 0.34743)
      (226, 617, 0.19178)
      (226, 660, 0.40812)
      (226, 849, 0.87997)
      (226, 880, 0.33356)
      (226, 947, 0.46717)
      (226, 1024, 0.65056)
      (226, 1059, 0.59214)
      (226, 1071, 0.60345)
      (226, 1134, 0.19361)
      (226, 1308, 0.34830)
      (226, 1333, 0.56498)
      (226, 1557, 0.53945)
      (226, 1707, 0.14359)
      (226, 1716, 0.11199)
      (226, 1722, 0.06426)
      (227, 142, 0.20736)
      (227, 308, 0.22928)
      (227, 333, 0.64438)
      (227, 592, 0.91276)
      (227, 832, 0.62315)
      (227, 1023, 0.37072)
      (227, 1036, 0.00786)
      (227, 1110, 0.04756)
      (227, 1158, 0.11752)
      (227, 1229, 0.85866)
      (227, 1265, 0.43525)
      (227, 1338, 0.36950)
      (227, 1425, 0.08596)
      (227, 1467, 0.76112)
      (227, 1743, 0.09721)
      (227, 1825, 0.79420)
      (227, 1849, 0.94149)
      (228, 83, 0.41990)
      (228, 130, 0.22678)
      (228, 166, 0.59170)
      (228, 234, 0.28566)
      (228, 235, 0.08438)
      (228, 341, 0.70891)
      (228, 369, 0.84790)
      (228, 403, 0.58798)
      (228, 576, 0.91032)
      (228, 592, 0.68799)
      (228, 709, 0.99622)
      (228, 787, 0.37515)
      (228, 1025, 0.22387)
      (228, 1323, 0.78468)
      (228, 1518, 0.45207)
      (228, 1521, 0.29803)
